Study,logoshr,logpfshr,sd_lOSHR1,sd_lpfsHR1,N
1,0.019802627,0.139761942,0.711261261,0.118847652,423
2,-0.274436846,-0.139262067,0.133389835,0.135590713,325
3,-0.46203546,-0.693147181,0.154135407,0.155255351,305
4,-0.210721031,0.067658648,0.06885831,0.064413368,1274
5,-0.105360516,0.009950331,0.079122609,0.117900241,529
6,-0.342490309,-0.127833372,0.106352414,0.090290296,687
7,-0.494296322,-0.235722334,0.108590724,0.090215954,689
8,-0.287682072,-0.072570693,0.084122282,0.073389632,850
9,-0.46203546,-0.342490309,0.20279196,0.191985824,126
10,-0.314710745,-0.083381609,0.100485827,0.093298852,582
11,-0.527632742,-0.478035801,0.147219385,0.138854988,272
12,-0.15082289,0.343589704,0.093809066,0.091637931,569
13,-0.223143551,-0.040821995,0.104741774,0.097997295,495
14,-0.116533816,0.104360015,0.085836332,0.084670571,628
15,-0.094310679,-0.174353387,0.101162141,0.096041962,506
16,-0.061875404,0.39877612,0.089045263,0.088735303,592
17,0.09531018,0.548121409,0.120263199,0.123856311,371
18,-0.314710745,-0.020202707,0.110543374,0.098133012,542
19,0.131028262,0.518793793,0.138963568,0.127574049,378
20,-0.314710745,-0.127833372,0.100431009,0.080930282,821
21,0.173953307,0.329303747,0.184396998,0.169056161,180
22,-0.162518929,-0.072570693,0.092423366,0.084448621,743
23,-0.030459207,0.470003629,0.086280382,0.093661477,622
24,-0.051293294,0.029558802,0.131901048,0.155721596,405
25,-0.15082289,-0.544727175,0.12647879,0.117812891,359
26,-0.301105093,-0.755022584,0.132986353,0.123325391,360
27,-0.776528789,-0.84397007,0.126027445,0.127296004,418
